0	NULL	annotation	Caroline Schroeder, Amir Zeldes
0	NULL	copyright	(c)2000-2006 by J Warren Wells
0	NULL	corpus	sahidica.nt
0	NULL	languages	Sahidic Coptic
0	NULL	project	Coptic SCRIPtorIuM
0	NULL	source	Sahidica - A New Edition of the New Testament in Sahidic Coptic
0	NULL	tagger_version	coptic_fine6.par
0	NULL	tokenizer_version	2.0.1
0	NULL	translation	World English Bible (WEB)
0	NULL	version	1.1.0
2	NULL	book	1 Corinthians
2	NULL	chapter	1
2	NULL	cid	46N 1
2	NULL	cname	1 Corinthians 1
2	NULL	document_cts_urn	urn:cts:copticLit:nt.1cor.sahidica:1
2	NULL	metadata	Caroline T. Schroeder
2	NULL	version_date	16 April 2015
2	NULL	version_n	1.0.1
3	NULL	book	1 Corinthians
3	NULL	chapter	10
3	NULL	cid	46N 10
3	NULL	cname	1 Corinthians 10
3	NULL	document_cts_urn	urn:cts:copticLit:nt.1cor.sahidica:10
3	NULL	metadata	Caroline T. Schroeder
3	NULL	version_date	16 April 2015
3	NULL	version_n	1.0.1
4	NULL	book	1 Corinthians
4	NULL	chapter	11
4	NULL	cid	46N 11
4	NULL	cname	1 Corinthians 11
4	NULL	document_cts_urn	urn:cts:copticLit:nt.1cor.sahidica:11
4	NULL	metadata	Caroline T. Schroeder
4	NULL	version_date	16 April 2015
4	NULL	version_n	1.0.1
5	NULL	book	1 Corinthians
5	NULL	chapter	12
5	NULL	cid	46N 12
5	NULL	cname	1 Corinthians 12
5	NULL	document_cts_urn	urn:cts:copticLit:nt.1cor.sahidica:12
5	NULL	metadata	Caroline T. Schroeder
5	NULL	version_date	16 April 2015
5	NULL	version_n	1.0.1
6	NULL	book	1 Corinthians
6	NULL	chapter	13
6	NULL	cid	46N 13
6	NULL	cname	1 Corinthians 13
6	NULL	document_cts_urn	urn:cts:copticLit:nt.1cor.sahidica:13
6	NULL	metadata	Caroline T. Schroeder
6	NULL	version_date	16 April 2015
6	NULL	version_n	1.0.1
7	NULL	book	1 Corinthians
7	NULL	chapter	14
7	NULL	cid	46N 14
7	NULL	cname	1 Corinthians 14
7	NULL	document_cts_urn	urn:cts:copticLit:nt.1cor.sahidica:14
7	NULL	metadata	Caroline T. Schroeder
7	NULL	version_date	16 April 2015
7	NULL	version_n	1.0.1
8	NULL	book	1 Corinthians
8	NULL	chapter	15
8	NULL	cid	46N 15
8	NULL	cname	1 Corinthians 15
8	NULL	document_cts_urn	urn:cts:copticLit:nt.1cor.sahidica:15
8	NULL	metadata	Caroline T. Schroeder
8	NULL	version_date	16 April 2015
8	NULL	version_n	1.0.1
9	NULL	book	1 Corinthians
9	NULL	chapter	16
9	NULL	cid	46N 16
9	NULL	cname	1 Corinthians 16
9	NULL	document_cts_urn	urn:cts:copticLit:nt.1cor.sahidica:16
9	NULL	metadata	Caroline T. Schroeder
9	NULL	version_date	16 April 2015
9	NULL	version_n	1.0.1
10	NULL	book	1 Corinthians
10	NULL	chapter	2
10	NULL	cid	46N 2
10	NULL	cname	1 Corinthians 2
10	NULL	document_cts_urn	urn:cts:copticLit:nt.1cor.sahidica:2
10	NULL	metadata	Caroline T. Schroeder
10	NULL	version_date	16 April 2015
10	NULL	version_n	1.0.1
11	NULL	book	1 Corinthians
11	NULL	chapter	3
11	NULL	cid	46N 3
11	NULL	cname	1 Corinthians 3
